neighborhood,locality,administrative_area_level_2,administrative_area_level_1,country,lat,long,count_markets,count_restaurants,count_stations,count_schools,count_clinics
Algona,Algona,King County,Washington,United States,47.28083181818182,-122.25195454545457,0,4,10,0,0
Alki,Seattle,King County,Washington,United States,47.57455918367347,-122.40626530612246,0,5,10,0,0
Arbor Heights,Seattle,King County,Washington,United States,47.50975892857142,-122.38001785714287,1,0,10,0,0
Arbors at Rock Creek,Maple Valley,King County,Washington,United States,47.37049,-122.01780000000001,1,10,8,0,0
Atlantic,Seattle,King County,Washington,United States,47.594843750000024,-122.30195312499998,2,4,10,0,0
Auburn,Auburn,King County,Washington,United States,47.308990597014976,-122.22213134328359,4,16,10,0,0
Auburn,Auburn,Pierce County,Washington,United States,47.2577,-122.198,0,0,2,0,0
Ballard,Seattle,King County,Washington,United States,47.679207161125255,-122.38075191815871,4,11,10,0,0
Ballinger,Shoreline,King County,Washington,United States,47.77393333333333,-122.30866666666667,1,6,10,0,0
Bear Creek,Redmond,King County,Washington,United States,47.68393,-122.09559999999999,0,0,10,0,0
Beaux Arts Village,Beaux Arts Village,King County,Washington,United States,47.5854,-122.19933333333331,0,0,10,0,0
Bellevue,Bellevue,King County,Washington,United States,47.575124999999986,-122.14605555555555,1,8,10,0,0
Bitter Lake,Seattle,King County,Washington,United States,47.71896875000001,-122.35156249999996,5,8,10,0,0
Bitter Lake,Shoreline,King County,Washington,United States,47.7114,-122.35300000000001,1,10,10,0,0
Black Diamond,Black Diamond,King County,Washington,United States,47.32447164179105,-122.02453731343287,0,0,0,0,0
Bothell,Bothell,King County,Washington,United States,47.75499892473119,-122.20273655913977,2,15,10,0,0
Briarcliff,Seattle,King County,Washington,United States,47.64532857142856,-122.4075079365079,1,9,10,0,0
Briarcrest,Shoreline,King County,Washington,United States,47.73867674418605,-122.2998139534884,1,3,10,0,0
Bridle Trails,Bellevue,King County,Washington,United States,47.643746478873226,-122.16212676056338,0,0,10,0,0
Bridle Trails,Kirkland,King County,Washington,United States,47.660519512195116,-122.17868292682923,1,0,10,0,0
Brighton,Seattle,King County,Washington,United States,47.538578431372564,-122.27529411764708,5,18,10,0,0
Broadview,Seattle,King County,Washington,United States,47.719398305084745,-122.36127118644065,0,1,10,0,0
Bryant,Seattle,King County,Washington,United States,47.672583333333336,-122.28649999999999,1,7,10,0,0
Burien,Burien,King County,Washington,United States,47.466558649788986,-122.34352742616049,9,18,10,0,0
Burton,Vashon,King County,Washington,United States,47.392300000000006,-122.46325,0,0,3,0,0
Capitol Hill,Seattle,King County,Washington,United States,47.62631803278688,-122.31365573770486,6,19,10,0,0
Carnation,Carnation,King County,Washington,United States,47.66575315315313,-121.91226126126128,0,0,0,0,0
Cedar Park,Seattle,King County,Washington,United States,47.72299782608696,-122.28802173913046,4,16,10,0,0
Central District,Seattle,King County,Washington,United States,47.607983421052644,-122.29744210526302,5,13,10,0,0
Central Houghton,Kirkland,King County,Washington,United States,47.657027906976744,-122.19379069767443,0,4,10,0,0
Clyde Hill,Clyde Hill,King County,Washington,United States,47.630724,-122.21776,0,0,10,0,0
Columbia City,Seattle,King County,Washington,United States,47.55784173913045,-122.28391304347826,3,19,10,0,0
Cougar Mountain,Bellevue,King County,Washington,United States,47.555472727272736,-122.12170909090915,1,1,4,0,0
Covington,Covington,King County,Washington,United States,47.36824581673305,-122.09872111553781,2,2,10,0,0
Crossroads,Bellevue,King County,Washington,United States,47.62036388888888,-122.1452222222222,8,16,10,0,0
Crown Hill,Seattle,King County,Washington,United States,47.69695466666667,-122.37174666666674,3,5,10,0,0
Delridge,Seattle,King County,Washington,United States,47.539260942760926,-122.36330639730646,0,2,10,0,0
Des Moines,Des Moines,King County,Washington,United States,47.39113449612405,-122.31759689922477,0,6,10,0,0
Douglas Park,Seattle,King County,Washington,United States,47.72451333333334,-122.30080000000001,7,17,10,0,0
Downtown,Redmond,King County,Washington,United States,47.676640000000006,-122.1194,6,19,10,0,0
Downtown,Seattle,King County,Washington,United States,47.605450000000005,-122.319,16,18,10,0,0
Dunlap,Seattle,King County,Washington,United States,47.5281394736842,-122.27113157894739,2,9,10,0,0
Duvall,Duvall,King County,Washington,United States,47.73654263157897,-121.96048421052629,0,0,0,0,0
East Queen Anne,Seattle,King County,Washington,United States,47.6363138888889,-122.35024999999996,3,9,10,0,0
Eastgate,Bellevue,King County,Washington,United States,47.572454687500006,-122.13725000000001,1,7,10,0,0
Eastlake,Seattle,King County,Washington,United States,47.639916129032244,-122.32641935483876,1,6,10,0,0
Echo Lake,Edmonds,Snohomish County,Washington,United States,47.7775,-122.336,3,17,10,0,0
Echo Lake,Shoreline,King County,Washington,United States,47.770081250000004,-122.33429166666669,0,10,10,0,0
Education Hill,Redmond,King County,Washington,United States,47.69090681818181,-122.11514393939395,0,1,10,0,0
English Hill,Redmond,King County,Washington,United States,47.72250857142858,-122.10554285714286,0,0,4,0,0
Enumclaw,Enumclaw,King County,Washington,United States,47.2112107296137,-121.99503004291836,0,11,10,0,0
Everest,Kirkland,King County,Washington,United States,47.67328571428572,-122.18999999999998,2,11,10,0,0
Factoria,Bellevue,King County,Washington,United States,47.568115,-122.16990000000003,3,12,10,0,0
Fairmount Park,Seattle,King County,Washington,United States,47.55368039215688,-122.38047058823528,4,18,10,0,0
Fall City,Fall City,King County,Washington,United States,47.56289130434782,-121.90237681159422,1,2,3,0,0
Fauntleroy,Seattle,King County,Washington,United States,47.52435970149255,-122.38617910447758,0,3,10,0,0
Federal Way,Federal Way,King County,Washington,United States,47.31203987012987,-122.34510519480523,0,2,10,0,0
Federal Way,Federal Way,Pierce County,Washington,United States,47.2772,-122.354,1,3,10,0,0
Fremont,Seattle,King County,Washington,United States,47.656995238095234,-122.35199999999992,2,19,10,0,0
Gatewood,Seattle,King County,Washington,United States,47.53688045977014,-122.38362068965523,1,3,10,0,0
Genesee,Seattle,King County,Washington,United States,47.56533818181818,-122.38676363636357,4,19,10,0,0
Georgetown,Seattle,King County,Washington,United States,47.54443,-122.3214,2,15,10,0,0
Gilman,Issaquah,King County,Washington,United States,47.534885714285714,-122.04400000000001,4,17,10,0,0
Gold Bar,Gold Bar,King County,Washington,United States,47.76245,-121.4765,0,0,0,0,0
Grass Lawn,Kirkland,King County,Washington,United States,47.6647,-122.16,1,1,10,0,0
Grass Lawn,Redmond,King County,Washington,United States,47.66875666666668,-122.14781111111112,0,0,10,0,0
Greater Duwamish,Seattle,King County,Washington,United States,47.55375653594771,-122.30357843137261,2,5,10,0,0
Green Lake,Seattle,King County,Washington,United States,47.68108837209303,-122.33144186046508,4,17,10,0,0
Greenwood,Seattle,King County,Washington,United States,47.693766359447,-122.35425806451633,5,15,10,0,0
Haller Lake,Seattle,King County,Washington,United States,47.72074434782609,-122.33576521739137,5,11,10,0,0
Hawthorne Hills,Seattle,King County,Washington,United States,47.6748,-122.279,2,2,10,0,0
Highland Terrace,Seattle,King County,Washington,United States,47.7466,-122.347,6,12,10,0,0
Highland Terrace,Shoreline,King County,Washington,United States,47.74477,-122.35455000000002,5,13,10,0,0
Highlands,Kirkland,King County,Washington,United States,47.688983673469394,-122.1866734693877,0,4,10,0,0
Highline,Burien,King County,Washington,United States,47.497728571428574,-122.31028571428571,2,4,10,0,0
Highline,SeaTac,King County,Washington,United States,47.4889,-122.299,2,2,10,0,0
Highline,Seattle,King County,Washington,United States,47.50328293515356,-122.33813310580203,0,1,10,0,0
Highpointe,Covington,King County,Washington,United States,47.36265,-122.127,3,14,10,0,0
Highpointe,Kent,King County,Washington,United States,47.3645,-122.126,4,16,10,0,0
Hillwood,Shoreline,King County,Washington,United States,47.77179285714284,-122.35503571428572,1,15,10,0,0
Hunts Point,Hunts Point,King County,Washington,United States,47.637566666666665,-122.226,0,0,10,0,0
Inglewood-Finn Hill,Bothell,King County,Washington,United States,47.7357,-122.193,0,1,10,0,0
Inglewood-Finn Hill,Kirkland,King County,Washington,United States,47.721236391437316,-122.22300917431197,0,0,10,0,0
Innis Arden,Shoreline,King County,Washington,United States,47.758739999999996,-122.37343999999999,1,2,7,0,0
Interbay,Seattle,King County,Washington,United States,47.6542,-122.385,2,6,10,0,0
Issaquah,Issaquah,King County,Washington,United States,47.51991271186438,-122.02741949152534,0,0,6,0,0
Issaquah Highlands,Issaquah,King County,Washington,United States,47.54713371428571,-122.00348571428562,0,6,0,0,0
Junction,Seattle,King County,Washington,United States,47.562475,-122.38684999999998,4,18,10,0,0
Kenmore,Kenmore,King County,Washington,United States,47.75506726618705,-122.24628776978415,3,11,10,0,0
Kenmore,Kenmore,Snohomish County,Washington,United States,47.7769,-122.25,0,0,0,0,0
Kennydale,Renton,King County,Washington,United States,47.516492499999984,-122.19595000000001,0,0,10,0,0
Kent,Kent,King County,Washington,United States,47.37934864277951,-122.181704668838,0,0,10,0,0
Kingsgate,Kirkland,King County,Washington,United States,47.725289361702124,-122.17394326241144,1,3,10,0,0
Kirkland,Kirkland,King County,Washington,United States,47.695483333333335,-122.18591666666667,0,4,10,0,0
Klahanie,Issaquah,King County,Washington,United States,47.56942733333333,-122.00932,1,4,4,0,0
