Algona,Alki,Arbor Heights,Arbors at Rock Creek,Atlantic,Auburn,Ballard,Ballinger,Bear Creek,Beaux Arts Village,Bellevue,Bitter Lake,Black Diamond,Bothell,Briarcliff,Briarcrest,Bridle Trails,Brighton,Broadview,Bryant,Burien,Burton,Capitol Hill,Carnation,Cedar Park,Central District,Central Houghton,Clyde Hill,Columbia City,Cougar Mountain,Covington,Crossroads,Crown Hill,Delridge,Des Moines,Douglas Park,Downtown,Dunlap,Duvall,EXP_ID,East Queen Anne,Eastgate,Eastlake,Echo Lake,Education Hill,English Hill,Enumclaw,Everest,Factoria,Fairmount Park,Fall City,Fauntleroy,Federal Way,Fremont,Gatewood,Genesee,Georgetown,Gold Bar,Grass Lawn,Greater Duwamish,Green Lake,Greenwood,Haller Lake,Highland Terrace,Highlands,Highline,Highpointe,Hillwood,Hunts Point,Inglewood-Finn Hill,Innis Arden,Issaquah,Issaquah Highlands,Junction,Kenmore,Kennydale,Kent,Kingsgate,Kirkland,Klahanie,Lake City,Lake Forest Park,Lake Hills,Lakeland Hills,Lakeview,Laurelhurst,Lawton Park,Lea Hill,Leota,Licton Springs,Lower Queen Anne,Loyal Heights,Madison Park,Magnolia,Mann,Maple Leaf,Maple Valley,Market,Medina,Mercer Island,Meridian Park,Miller Park,Milton,Montlake,Morning Glen,Moss Bay,Mount Baker,Newcastle,Newport,Norkirk,Normandy Park,North Admiral,North Beach/ Blue Ridge,North Bend,North City,North Issaquah,North Juanita,North Queen Anne,North Redmond,North Rose Hill,North Seattle,Northeast Bellevue,Northeast Seattle,Northgate,Northwest Bellevue,Northwest Seattle,Old Ballard,Others,Overlake,Pacific,Parkwood,Phinney Ridge,Pinehurst,Preston,Queen Anne,Rainier Beach,Rainier Valley,Rainier View,Ravenna,Ravensdale,Redmond,Redmond Ridge,Redmond Ridge East,Renton,Richmond Beach,Richmond Highlands,Ridgecrest,Riverton-Boulevard Park,Salmon Creek,Sammamish,Scenic Hill,SeaTac,Seahurst,Seattle,Seward Park,Shoreline,Shorewood on the Sound,Skykomish,Snoqualmie,Snoqualmie Ridge,Somerset,South Juanita,South Rose Hill,Southeast Magnolia,Southeast Redmond,Southwest,Squak Mountain,Squire Park,Stevens,Talus,The Wedge,Town Center,Tukwila,Tuscany,Vashon,Viewpoint,Wallingford,Washington Park,Wedgwood,West Bellevue,West Lake Sammamish,West Queen Anne,West Ridge,West Seattle,West Woodland,Westlake,Westminster Triangle,Whittier Heights,Wilburton,Willow - Rose Hill,Woodinville,Woodridge,Yarrow Point,administrative_area_level_1,administrative_area_level_2,age,age_renovated,bathrooms,bedrooms,condition,count_clinics,count_markets,count_restaurants,count_schools,count_stations,country,floors,grade,id,locality,log_age,log_age_renovated,log_count_clinics,log_count_markets,log_count_restaurants,log_count_schools,log_count_stations,log_price,log_sqft,log_sqft_above,log_sqft_basement,log_sqft_living,log_sqft_lot,price,split,sqft,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02440566214774611,0.006829998233024559,0.025247832189884044,,,,,,,0.01011134444646266,0.3685993013877177,,,,,,,,,,,,,,,,,,0.022756835305641248,0.028685330131592645,0.01919663956746541,0.30215241911739865,0.05569998818094046,0.023658383151031862,0.04836083780701607,0.028390303030711363,0.035905125303367216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01657101981372107,0.003337774245637436,0.01805991744281423,0.03482043764209018,0.012987521323102913,0.03633466348942506,0.02756894825680195,0.008893139471902383,,0.004761442733791653,0.35403558426568915,,,,,,,,,,,,,,,,,,0.013930967941725898,0.02129052994494036,0.013256471679455064,0.2864445697203776,0.04348162148299841,0.012815664468450528,0.031377374246870975,0.025392051777880696,0.03464030005232455
1.4987016222321648e-06,,,,,0.0023166241332289784,,,,0.0008549232777902442,0.02238369961286485,,6.771034232173383e-05,0.00032101239240538485,,,,,,,9.480485662310296e-05,,,3.817254131426866e-05,,,,0.009729429278313231,,,0.00026849810657040586,,,,6.568268221436982e-05,,,,7.842210221656464e-05,2.0,,,,,,,0.00011758653363733108,,,,6.774804088551385e-05,,0.003692457574241839,,,,,0.0,,,,,,,,,,,0.00043220190107353654,,,,,,0.00032283439050539433,,0.0025179949623852877,,0.01090325943340905,,,0.00022844920627558305,,,,,,,,,,,,,,,0.0008679111387069888,,0.01908451193594144,0.012573206321229229,,,3.0208418239317766e-06,,,,,0.0002766437048497946,,,5.562621724336912e-05,,,0.00011570352212639769,,,,,,,,,,,,,,0.0,,5.710697963902816e-06,,,,2.9003841633026695e-06,,,,,,1.1806531470151905e-05,0.007448702529162173,,,0.000962491379210452,,,,,,0.004484906252603559,,9.500839770968986e-05,,0.041142473588986636,,0.001658497955185862,,4.518427523612278e-07,0.0005864478893741716,,,,,,,,,,,,,,7.574095695935374e-05,,0.00010296140168697992,,,,,,,,,,,,,,,,0.0009567621695691224,,0.0036282902909484265,,,,,0.01222332261859704,0.0038054798120771938,0.011725704674437605,,,,,,,0.003185307657977537,0.35143106582161593,,,,,,,,,,,,,,,,,,0.015335078609507153,0.02064969321165756,0.009728586987772646,0.28612734602005724,0.04571628367676165,0.011623271109830134,0.02341572166949352,0.0203665380981756,0.036023814012472996
3.604817688444416e-06,0.00010053062849544144,1.0249032561526112e-05,1.236468775536846e-05,0.00010866135108380737,0.005603496995567512,0.0010224418857192317,2.122573896555143e-06,2.5666380613328992e-06,0.000366334246004542,0.0013203064007315454,2.364142298560936e-06,3.0214726905010748e-05,4.6511123103710964e-05,0.0006214237005519169,8.029416846984343e-06,0.0008745662504025117,3.3429157434856284e-05,0.0006954564694565367,6.391928286346426e-05,0.00021482831069104293,1.1960811708609116e-05,0.0018347275339313648,2.9795291178488983e-05,6.591371090251512e-05,0.002054579386648475,0.0009298068597029179,0.00775928231342228,7.94801676028956e-05,0.00034629756080200625,0.0015467682381216704,5.13689771209507e-07,4.054700900664212e-05,0.0006904080223423327,0.0012069466465414707,0.0,7.024573890309529e-06,0.00011049172060558235,0.00016323780992581809,3.0,0.0013744333556933413,3.4967817009676634e-05,0.00010973362615541464,1.374545203812075e-06,2.8562427062706408e-05,1.3838664054965945e-06,0.0007586810683540375,5.746097966855372e-05,2.189763262247829e-05,2.312930259513097e-05,1.6826723719406782e-05,0.0001087460638719916,0.010390061134428941,9.448854873230429e-05,3.279010610075281e-05,6.418052360158463e-05,3.736057533390017e-06,5.018638908567976e-08,3.0032353194946874e-05,0.0008963974234487914,0.0005052874947679112,0.00011467157859359392,2.297386889601772e-05,4.958787172448221e-07,7.730312380409332e-05,0.0003809651040771639,1.9780551682394948e-05,1.482036466313524e-06,0.0002601313536835315,0.0008660970546567039,2.5672094067218178e-05,,,1.1385486304476885e-06,7.438862547040353e-05,5.96691201083586e-05,0.008804747884820717,7.316443810295667e-05,0.0,,0.00019431313268814784,0.000104442868013712,8.789619531696014e-05,0.0006698719208715733,0.0004175602561898208,0.0012463982713738686,0.00031988295645600984,0.0015951366026413427,6.366094505841595e-06,2.185535199396368e-05,0.000527608995812253,9.445364307847375e-06,0.007789066897507683,0.0005436424045160387,1.4577157115436205e-05,0.00012527778543123394,0.0032647567454733364,0.0019249750565799206,0.016836565371190198,0.006737056017646657,2.132807372762316e-05,0.0,1.2764386725595573e-05,0.00036361924500373836,0.0,3.526194144610109e-05,0.0004953973657409445,3.755945454268553e-05,0.0006639371088198094,0.0011963239843765176,8.379149532520617e-05,5.655751215242047e-05,0.0006115558620350594,1.919601798012816e-05,8.283922083358071e-06,0.0,2.1490425322774946e-06,0.00027112996756797306,0.00010056720215390532,2.3237054099574065e-05,0.0002940814022957642,0.0003451447976743794,0.004634425497283148,6.010545715493157e-06,0.01437489800090346,0.0001786040678259512,0.00011463444602811433,0.00014556606527332155,5.339789178281912e-05,4.8069183641686686e-05,0.0,3.47942293312689e-05,1.7292899645091904e-06,0.0,0.00046224812317868693,0.00020470670534828784,0.00019355292545254028,6.342388001957047e-06,2.403354377617108e-06,1.5086295154755483e-06,0.00013800282398255352,0.0003514135134530752,6.633438763937976e-06,0.005785203052482575,2.7378555711894186e-05,6.016170063909812e-06,2.0811674489628562e-05,6.677603143889281e-07,1.3017453946223495e-05,0.0006701595587381106,8.793710795864732e-05,0.0005370955189401216,5.2386610180451724e-06,0.0005584411459510873,7.755952995475333e-05,5.907667664429335e-06,5.2452042612627194e-06,3.722377878936676e-06,1.9389404974215285e-05,0.0005823704483514488,0.00043010712992626023,0.00011887175024992894,1.3186549002392205e-05,1.1439620740556545e-05,8.938649207451242e-07,0.00020329564981324232,,7.650030501497222e-07,0.00013076056760524322,,4.046986058043136e-06,2.2561047156944863e-06,0.00020882700006773428,9.623096476827787e-06,7.530917352601167e-05,3.796506452313804e-05,0.001098398371664671,3.683740224853097e-05,1.9774793302383118e-06,0.004737681381962301,0.00027367450713561265,0.0007614358835777735,1.3207781775696875e-05,0.00019815631932083307,2.9580900306163462e-06,1.879714105330281e-06,5.26528268724158e-06,7.061424695604888e-06,8.298098304178649e-05,0.00013759891618990677,5.5669477375171706e-05,0.00024147050601980917,0.002861434215014337,,,,,0.012427625119816998,0.002231716986323039,0.02075407451568811,,,,,,,0.005609530263539544,0.3642719315718448,,,,,,,,,,,,,,,,,,0.009279176873607728,0.014498194521438778,0.013575779138787792,0.28612067126108554,0.03028768838580468,0.009719071894989082,0.02820132419381315,0.02592413059160395,0.03553226000780543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08326093537274666,0.016918339227213128,0.018946886925622058,0.005132703110183282,0.007036252714426311,,,,,,,0.0043431898841224965,0.37888685057077603,,,,,,,,,,,,,,,,,,0.016032762616319973,0.022393845834099348,0.008611096352972313,0.28628047570650483,0.055749716283443294,0.017013670628511366,0.03310906156115245,0.01655534967282408,0.029728863539082287
4.501489590845456e-06,1.5662128518037592e-05,1.8907777946730147e-05,2.062592636463765e-07,3.5140338930702533e-05,0.0001718924567045846,0.0005031571492494305,5.280836339921291e-07,7.118080462188165e-08,0.000180280858128285,0.0005666737484337611,1.6171908022575212e-05,1.7912786450935138e-05,0.00032669413033470726,0.0004508406881547218,5.9316513786129816e-06,0.0002148924772132401,8.914764121013732e-05,4.234526810838231e-05,2.9593129441944274e-05,1.4478232583944814e-05,0.0,0.000244154646566542,9.65318990150114e-06,3.341740340745503e-05,0.00025968239199643175,0.0001818354295204087,0.0015544563742487132,9.529102718151346e-05,6.130907237084382e-05,0.00014844012347883258,7.609410227080161e-07,8.839518409917009e-06,0.0002644504658118004,5.437019603184519e-05,1.8235391784178918e-06,0.0,1.1131709562627852e-05,1.1935316292556328e-05,5.0,0.0008755908551711624,2.119688859421645e-05,6.249317960010573e-05,1.3058601623367962e-06,1.7306107446255147e-05,6.1675220825719235e-06,8.430965582603792e-05,3.414598557356193e-05,4.831826750260548e-06,1.3990624926216074e-05,7.238724952763858e-06,9.608210303131485e-05,0.002130164527593378,3.30113283263566e-05,1.9096369907899177e-05,1.2941957648537066e-05,4.550384711625895e-06,0.0,1.3993538968046549e-05,0.0005011739359669408,0.000263390925050262,7.696578596095956e-05,5.083177708253752e-05,5.185003737572786e-06,5.052191425102591e-05,0.0007667087013607778,5.19343442915162e-06,4.837088923174013e-06,0.000144714124437404,0.00041195624815118157,5.884544109692773e-05,,,1.5329509136919324e-06,2.299764264430857e-05,2.8609914276622746e-05,0.0013249645557151814,3.3501883697396695e-05,1.6709549667547537e-07,,6.459725525518688e-05,6.425313623474005e-05,1.1535541860607511e-05,1.3784584635794873e-05,0.00014697793832019448,0.00015613182866711656,0.0003546568380177208,5.090336909649166e-05,1.9588047740322532e-05,2.1167715047727245e-05,0.00025508703521255534,5.5371523541436575e-06,0.0016694317247166455,0.0001970002202852644,5.8302039177604825e-06,4.624878738619882e-05,0.00031154937047994424,0.0014374019044218946,0.005013692271398855,0.004073994697818864,2.710146431088897e-06,0.0,3.2009833618539755e-05,0.0002055110645453958,5.842426105872938e-06,7.1271355094328125e-06,0.0001902528251981718,7.798733071990696e-06,0.0001272310241044662,0.00039114162492228483,4.841280499448866e-05,2.2114916904900078e-05,0.00025807000568715143,1.4470624929514716e-05,5.434276752293109e-06,0.0,3.24126808512328e-06,0.00012923603132108794,5.022233736465807e-06,3.332427440173548e-05,0.00026128088489541234,7.922178011010124e-05,0.0006657902866162267,4.054466732674169e-06,0.004822362440016714,0.00014756232386397642,5.752785097132618e-05,7.886300958286519e-05,8.030239806265072e-05,5.682008269074379e-05,6.574368002433427e-07,1.7573113748990837e-05,4.2235954031656475e-06,5.944798828254131e-07,0.00021667905474030176,4.579895595993126e-05,0.000311165317592407,6.608375542306603e-06,2.6931603268831743e-06,4.055181187286112e-06,3.128752754195776e-05,2.294862814976276e-05,1.9235619592256765e-06,0.00045775010181646036,0.00015056664216084775,3.4742913391942322e-06,1.611750438437271e-06,1.0875887939144975e-06,1.6708430938591096e-05,0.0004580879326928788,1.1643859043336028e-05,6.233589753693669e-05,2.500038046267061e-05,0.0002575868937664694,6.400424336064268e-05,6.199448161628075e-07,3.1277403628572963e-06,2.977004619343512e-06,1.8590052678281776e-06,1.81308742029602e-05,7.245312455375409e-05,4.340193996917703e-05,7.67707622475744e-06,3.7469997466203353e-05,7.921660431382881e-08,7.077685207706486e-05,,2.4343518766220673e-07,0.00013820652807035539,,2.580685232270856e-05,5.285205049782067e-06,1.1239727553825753e-05,0.0,2.1141782604934145e-05,1.8748869571189513e-05,0.00027245527398931144,5.287007074214278e-05,2.625666982379248e-06,0.001612708632485947,0.00014217894945750607,0.0003765479329533812,1.4312646478249539e-05,3.5926458683664037e-05,0.0,4.115536962774489e-06,1.4652980117687547e-06,8.858945653237577e-07,2.458534643730809e-05,1.072208513836403e-05,1.7135405733278827e-05,4.795393953897663e-05,0.0006265185753455641,,,0.059105504466443186,0.006388934579443575,0.011009346509370766,0.0016517097956522098,0.0027639179404829925,0.019323893026684105,0.003840380965064387,0.011809358071593232,0.01094356494520907,0.003449365230776085,,0.0021632306472219517,0.3561655982146937,,,,,,,,,,,,,,,,,,0.008501056727256723,0.014492509312703596,0.004065204348753167,0.2720489524895932,0.03697474027020123,0.007304523514211268,0.013967587174564214,0.014443938753770947,0.028794803518783982
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08475997276779319,0.012724817015633594,0.013535386484083886,0.0029076085877567147,0.006394719814574445,0.03718204885473908,0.008823395088557822,0.02964371398755478,0.024734509096492996,0.006132524886200927,,0.0034461071365898465,0.4217414345019518,,,,,,,,,,,,,,,,,,0.012233336955173577,0.017453458105048274,0.007314078176888557,0.17453008448164736,0.04972152550420583,0.011409974461315385,0.02485497127685288,0.01634616636784899,0.03411016644909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10169383271156014,0.01273478108649655,0.008437838319606905,0.002495676278520869,0.006560429785544521,0.03282376916262805,0.010070741141447287,0.033056527149013235,0.028934627752455755,0.006660680274178514,,0.002751417773860945,0.4114804607588449,,,,,,,,,,,,,,,,,,0.011781112376770358,0.020773142788851333,0.009238241526045913,0.15588282983478813,0.05507364525285618,0.01353302142600903,0.02659358129378355,0.017483657057487532,0.0319399862492501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13077619419776582,0.017211720857535008,0.007393565422870231,0.0030759662162218233,0.006952053126575965,0.03895773651802136,0.013316771042473918,0.040491192864518064,0.03128477236428518,0.006672398282096495,,0.002817157246481057,0.3740451230001913,,,,,,,,,,,,,,,,,,0.01352994580853135,0.031089767337416307,0.012122323943715643,0.11088463740703956,0.07168035761339497,0.013634063260239587,0.03265442355183105,0.0241744083297116,0.01723542160908367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14137363400127514,0.01900117934157848,0.006565131153594453,0.0031064464783516397,0.007191162375974474,0.04511473433091282,0.013612909162253231,0.047339197647049504,0.035822796907175304,0.006767051792570601,,0.002871895075705436,0.32720984400607633,,,,,,,,,,,,,,,,,,0.015963924191875787,0.019679134142356586,0.015552047652480775,0.1261345160452812,0.07913355624618652,0.014907326450764685,0.038123746140916064,0.014232350989391391,0.020297415868229755
