neighborhood,locality,administrative_area_level_2,administrative_area_level_1,country,lat,long,count_markets,count_restaurants,count_stations,count_schools,count_clinics
Algona,Algona,King County,Washington,United States,47.28083181818182,-122.25195454545457,0,3,10,9,7
Alki,Seattle,King County,Washington,United States,47.57455918367347,-122.40626530612246,0,5,10,18,16
Arbor Heights,Seattle,King County,Washington,United States,47.50975892857142,-122.38001785714287,1,0,10,20,18
Arbors at Rock Creek,Maple Valley,King County,Washington,United States,47.37049,-122.01780000000001,1,10,8,14,12
Atlantic,Seattle,King County,Washington,United States,47.594843750000024,-122.30195312499998,2,4,10,20,20
Auburn,Auburn,King County,Washington,United States,47.308990597014976,-122.22213134328358,4,19,10,18,18
Auburn,Auburn,Pierce County,Washington,United States,47.2577,-122.198,0,0,2,8,1
Ballard,Seattle,King County,Washington,United States,47.679207161125255,-122.38075191815871,4,11,10,19,19
Ballinger,Shoreline,King County,Washington,United States,47.77393333333333,-122.30866666666667,1,6,10,19,16
Bear Creek,Redmond,King County,Washington,United States,47.68393,-122.09559999999999,0,0,10,16,14
Beaux Arts Village,Beaux Arts Village,King County,Washington,United States,47.5854,-122.19933333333331,0,0,10,19,8
Bellevue,Bellevue,King County,Washington,United States,47.575124999999986,-122.14605555555552,1,7,10,19,17
Bitter Lake,Seattle,King County,Washington,United States,47.71896875000001,-122.35156249999996,5,8,10,20,19
Bitter Lake,Shoreline,King County,Washington,United States,47.7114,-122.35300000000001,1,10,10,18,18
Black Diamond,Black Diamond,King County,Washington,United States,47.32447164179105,-122.02453731343287,0,0,0,4,0
Bothell,Bothell,King County,Washington,United States,47.75499892473119,-122.20273655913978,2,16,10,19,18
Briarcliff,Seattle,King County,Washington,United States,47.64532857142856,-122.4075079365079,1,9,10,9,15
Briarcrest,Shoreline,King County,Washington,United States,47.73867674418605,-122.2998139534884,1,3,10,19,12
Bridle Trails,Bellevue,King County,Washington,United States,47.643746478873226,-122.16212676056338,0,0,10,18,18
Bridle Trails,Kirkland,King County,Washington,United States,47.660519512195116,-122.17868292682923,1,0,10,20,10
Brighton,Seattle,King County,Washington,United States,47.538578431372564,-122.27529411764704,6,18,10,18,17
Broadview,Seattle,King County,Washington,United States,47.719398305084745,-122.36127118644066,0,1,10,20,20
Bryant,Seattle,King County,Washington,United States,47.672583333333336,-122.28649999999999,1,8,10,19,19
Burien,Burien,King County,Washington,United States,47.466558649788986,-122.34352742616049,7,18,10,18,20
Burton,Vashon,King County,Washington,United States,47.392300000000006,-122.46325,0,0,3,1,2
Capitol Hill,Seattle,King County,Washington,United States,47.62631803278688,-122.31365573770483,6,19,10,19,20
Carnation,Carnation,King County,Washington,United States,47.66575315315313,-121.91226126126128,0,0,0,4,2
Cedar Park,Seattle,King County,Washington,United States,47.72299782608696,-122.28802173913046,4,16,10,19,17
Central District,Seattle,King County,Washington,United States,47.607983421052644,-122.297442105263,5,13,10,20,19
Central Houghton,Kirkland,King County,Washington,United States,47.657027906976744,-122.19379069767443,0,6,10,20,9
Clyde Hill,Clyde Hill,King County,Washington,United States,47.630724,-122.21776,0,0,10,18,18
Columbia City,Seattle,King County,Washington,United States,47.55784173913045,-122.28391304347826,3,19,10,19,19
Cougar Mountain,Bellevue,King County,Washington,United States,47.555472727272736,-122.12170909090915,1,1,4,16,3
Covington,Covington,King County,Washington,United States,47.36824581673305,-122.09872111553781,2,2,10,18,19
Crossroads,Bellevue,King County,Washington,United States,47.62036388888888,-122.1452222222222,9,16,10,19,18
Crown Hill,Seattle,King County,Washington,United States,47.69695466666667,-122.37174666666674,3,5,10,19,14
Delridge,Seattle,King County,Washington,United States,47.539260942760926,-122.36330639730646,0,2,10,18,19
Des Moines,Des Moines,King County,Washington,United States,47.39113449612405,-122.31759689922478,0,6,10,17,9
Douglas Park,Seattle,King County,Washington,United States,47.72451333333334,-122.30080000000001,7,17,10,19,17
Downtown,Redmond,King County,Washington,United States,47.676640000000006,-122.11940000000001,6,19,10,15,13
Downtown,Seattle,King County,Washington,United States,47.605450000000005,-122.319,17,20,10,20,20
Dunlap,Seattle,King County,Washington,United States,47.5281394736842,-122.27113157894739,2,8,10,18,11
Duvall,Duvall,King County,Washington,United States,47.73654263157897,-121.96048421052629,0,0,0,9,2
East Queen Anne,Seattle,King County,Washington,United States,47.6363138888889,-122.35024999999996,3,9,10,18,17
Eastgate,Bellevue,King County,Washington,United States,47.572454687500006,-122.13724999999998,1,7,10,19,18
Eastlake,Seattle,King County,Washington,United States,47.639916129032244,-122.32641935483879,1,7,10,18,19
Echo Lake,Edmonds,Snohomish County,Washington,United States,47.7775,-122.336,3,17,10,20,19
Echo Lake,Shoreline,King County,Washington,United States,47.770081250000004,-122.33429166666669,0,9,10,20,20
Education Hill,Redmond,King County,Washington,United States,47.69090681818181,-122.11514393939395,0,1,10,16,14
English Hill,Redmond,King County,Washington,United States,47.72250857142858,-122.1055428571429,0,0,4,9,1
Enumclaw,Enumclaw,King County,Washington,United States,47.2112107296137,-121.99503004291836,0,11,10,17,16
Everest,Kirkland,King County,Washington,United States,47.67328571428572,-122.18999999999998,3,13,10,19,8
Factoria,Bellevue,King County,Washington,United States,47.568115,-122.16990000000001,3,12,10,17,14
Fairmount Park,Seattle,King County,Washington,United States,47.55368039215688,-122.38047058823528,4,18,10,18,20
Fall City,Fall City,King County,Washington,United States,47.56289130434782,-121.90237681159422,1,2,3,5,1
Fauntleroy,Seattle,King County,Washington,United States,47.52435970149255,-122.38617910447758,0,3,10,19,14
Federal Way,Federal Way,King County,Washington,United States,47.31203987012987,-122.34510519480523,0,2,10,18,17
Federal Way,Federal Way,Pierce County,Washington,United States,47.2772,-122.354,1,3,10,16,20
Fremont,Seattle,King County,Washington,United States,47.656995238095234,-122.35199999999992,2,19,10,19,17
Gatewood,Seattle,King County,Washington,United States,47.53688045977014,-122.38362068965523,1,3,10,19,18
Genesee,Seattle,King County,Washington,United States,47.56533818181818,-122.38676363636357,4,19,10,19,19
Georgetown,Seattle,King County,Washington,United States,47.54443,-122.3214,4,16,10,16,11
Gilman,Issaquah,King County,Washington,United States,47.534885714285714,-122.04400000000001,4,18,10,17,19
Gold Bar,Gold Bar,King County,Washington,United States,47.76245,-121.4765,0,0,0,0,0
Grass Lawn,Kirkland,King County,Washington,United States,47.6647,-122.16,1,1,10,14,2
Grass Lawn,Redmond,King County,Washington,United States,47.66875666666668,-122.14781111111112,0,0,10,16,14
Greater Duwamish,Seattle,King County,Washington,United States,47.55375653594771,-122.30357843137261,2,4,10,19,20
Green Lake,Seattle,King County,Washington,United States,47.68108837209303,-122.33144186046508,4,15,10,19,17
Greenwood,Seattle,King County,Washington,United States,47.693766359447,-122.35425806451633,5,15,10,19,19
Haller Lake,Seattle,King County,Washington,United States,47.72074434782609,-122.33576521739137,5,11,10,20,20
Hawthorne Hills,Seattle,King County,Washington,United States,47.6748,-122.279,2,2,10,19,18
Highland Terrace,Seattle,King County,Washington,United States,47.7466,-122.34700000000001,6,12,10,20,15
Highland Terrace,Shoreline,King County,Washington,United States,47.74477,-122.35455000000002,5,12,10,20,12
Highlands,Kirkland,King County,Washington,United States,47.688983673469394,-122.18667346938771,0,4,10,17,12
Highline,Burien,King County,Washington,United States,47.497728571428574,-122.31028571428571,2,4,10,18,10
Highline,SeaTac,King County,Washington,United States,47.4889,-122.29899999999999,2,2,10,17,8
Highline,Seattle,King County,Washington,United States,47.50328293515356,-122.33813310580206,0,1,10,20,20
Highpointe,Covington,King County,Washington,United States,47.36265,-122.12700000000001,3,14,10,14,19
Highpointe,Kent,King County,Washington,United States,47.3645,-122.126,4,16,10,15,20
Hillwood,Shoreline,King County,Washington,United States,47.77179285714284,-122.35503571428572,1,17,10,20,20
Hunts Point,Hunts Point,King County,Washington,United States,47.637566666666665,-122.226,0,0,10,20,14
Inglewood-Finn Hill,Bothell,King County,Washington,United States,47.7357,-122.193,0,1,10,18,17
Inglewood-Finn Hill,Kirkland,King County,Washington,United States,47.721236391437316,-122.22300917431197,0,0,10,18,6
Innis Arden,Shoreline,King County,Washington,United States,47.758739999999996,-122.37343999999999,1,2,7,20,18
Interbay,Seattle,King County,Washington,United States,47.6542,-122.385,2,6,10,20,18
Issaquah,Issaquah,King County,Washington,United States,47.51991271186438,-122.02741949152534,0,0,6,15,19
Issaquah Highlands,Issaquah,King County,Washington,United States,47.54713371428571,-122.00348571428562,0,5,0,19,19
Junction,Seattle,King County,Washington,United States,47.562475,-122.38684999999998,4,18,10,19,20
Kenmore,Kenmore,King County,Washington,United States,47.75506726618705,-122.24628776978415,3,12,10,15,6
