locality,avg_price
Medina,2160606.6
Clyde Hill,1846172.0
Yarrow Point,1784917.6470588236
Hunts Point,1220833.3333333333
Mercer Island,1194230.0212765958
Beaux Arts Village,1123000.0
Bellevue,848583.2524417731
Sammamish,734001.432325887
Newcastle,686487.2148148149
Redmond,661714.7467071936
Kirkland,644439.0520939735
Issaquah,616811.5098554534
Woodinville,615001.7621052632
Fall City,584994.2028985508
Seattle,570517.6138942707
Normandy Park,563723.2954545454
Lake Forest Park,542671.098265896
Snoqualmie,529941.8745980707
Preston,526765.0
Ravensdale,495970.64705882355
Bothell,491917.74468085106
Carnation,487337.58558558556
Vashon,486646.1196581197
Kenmore,462587.27598566306
North Bend,439174.01369863015
Duvall,436283.48421052634
Shoreline,416432.1924882629
Black Diamond,392217.8656716418
Renton,378101.1389080857
Burien,370061.9356913183
Maple Valley,366206.23350253806
Enumclaw,314639.3862660944
Kent,304733.37238493725
Auburn,300034.2771226415
Des Moines,297807.56589147286
Milton,296591.6666666667
Federal Way,288713.5207253886
Covington,275567.1349206349
Edmonds,270000.0
SeaTac,263640.1590909091
Tukwila,258304.25510204083
Skykomish,225142.85714285713
Pacific,224031.58536585365
Algona,202210.9090909091
Gold Bar,172500.0
